channel_id,name_holodex,english_name,group,branch,channel_type,inactive,comments_crawled_at,twitter,display_name,kana,kana_alias,units,topic_search,color
UC_4QF0dL-9XI9VajsNkMtmQ,Rei7【にじさんじ】,Reina,Y4T4,本家,liver,FALSE,2026-09-24T21:14:40.011Z,Rei7_2434,Rei7,れいな,,,,#4BB3CE
UCKu59gTZ_rdEmerdx5rV4Yg,Ren Zotto 【NIJISANJI EN】,Ren Zotto,EN ILUNA,EN,liver,FALSE,2026-09-24T18:39:40.016Z,RenZott0,Ren Zotto,レン・ゾット,レン,,,#429B76
UCM1pPyAoHMn56Dyk8HBhdSg,RhyZyGy,RhyZyGy,RhyZyGy,本家,unit,FALSE,2026-09-24T17:56:52.011Z,Rhyzygy,,,,,,
UCIzZDiilcPv0wim_MbuizFA,Ryoma Barrenwort 【NIJISANJI EN】,Ryoma Barrenwort,EN Denauth,EN,liver,FALSE,2026-09-25T04:21:46.010Z,RyomaBarrenwort,Ryoma Barrenwort,リョウマ・バレンウォート,リョウマ 凉舞,,,#952D22
UCFgXWZOUZA2oYHNr6qDmsTQ,Scarle Yonaguni 【NIJISANJI EN】,Scarle Yonaguni,EN ILUNA,EN,liver,FALSE,2026-09-24T18:53:40.018Z,ScarleYonaguni,Scarle Yonaguni,スカーレ・ヨナグニ,スカーレ,,,#E60012
UCCugV2RWXqJMjVVQl_Yh4TQ,Seible【NIJISANJI EN】,Seible,EN BY THE BEAT,EN,liver,FALSE,2026-09-25T00:11:58.018Z,Seible_2434,Seible,セイブル,セーブル,,,#0A44AA
UCh98mDig5OrbsF-JUXbD5LA,Sepiast-セピアスト-,Sepiast,JP Units,本家,unit,FALSE,2026-09-24T17:36:58.014Z,Sepiast_7,,,,,,
UC6oDys1BGgBsIC3WhG1BovQ,Shizuka Rin Official,Shizuka Rin,First Generation,本家,liver,FALSE,2026-09-24T18:28:46.020Z,ShizuRin23,静凛,しずかりん,りん,,,#745399
UCG0rzBZV_QMP4MtWg6IjhEA,Shu Yamino【NIJISANJI EN】,Shu Yamino,EN Luxiem,EN,liver,FALSE,2026-09-24T20:15:52.010Z,shu_yamino,Shu Yamino,シュウ・ヤミノ,シュウ,,,#A660A7
UCuuAb_72QzK0M1USPMEl1yw,Sonny Brisko 【NIJISANJI EN】,Sonny Brisko,EN Noctyx,EN,liver,FALSE,2026-09-25T01:48:58.012Z,sonny_brisko,Sonny Brisko,ソニー・ブリスコ,ソニー,,,#FFF321
UCZzBZtqCowlyG4ZXr6R_pIw,Speciale【にじさんじ】,Speciale,Speciale,本家,unit,FALSE,2026-09-25T00:07:45.118Z,Speciale_info,,,,,,
UCUtKkGKef8BYMs3h-3zQm9A,Suha Channel 【NIJISANJI】,Min Suha,Ex-KR First Wave,旧KR,liver,FALSE,2026-09-25T02:36:40.009Z,SuhaMin2434,ミン スゥーハ,みんすぅーは,すぅーは Min Suha,,,#5AC8FF
UChJ5FTsHOu72_5OVx0rvsvQ,Uki Violeta 【NIJISANJI EN】,Uki Violeta,EN Noctyx,EN,liver,FALSE,2026-09-25T01:10:58.018Z,uki_violeta,Uki Violeta,ウキ・ヴィオレタ,ウキ,,,#B600FF
UCNRh9kkByBTYLo0IJupnAug,VOLTACTION,,VOLTACTION,本家,unit,FALSE,2026-09-25T00:18:40.016Z,VOLTACTION_info,,,,,,
UC4Jyg9gFStHO8r5n4ya7XCQ,VTA公式【にじさんじ】,Virtual Talent Academy,VTA,本家,official,FALSE,2026-09-25T02:31:52.012Z,VTA_ANYCOLOR,,,,,,
UCpYf6C9QsP_BRf97vLuXlIA,Vantacrow Bringer 【NIJISANJI EN】,Vantacrow Bringer,EN Krisis,EN,liver,FALSE,2026-09-24T19:54:40.013Z,Tyrant_Vanta,Vantacrow Bringer,ベンタクロウ・ブリンガー,ベンタクロウ,,,#8728E1
UCO8WcDsF5znr-qsXlzZNpqg,Ver Vermillion【NIJISANJI EN】,Ver Vermillion,EN XSOLEIL,EN,liver,FALSE,2026-09-25T04:14:58.025Z,Ver_Vermillion,Ver Vermillion,ヴェール・ヴァーミリオン,ヴェール ヴェル,,,#D5345E
UCK9l6rTwU3hiSZijIMq51Gw,Vezalius Bandage 【NIJISANJI EN】,Vezalius Bandage,EN Krisis,EN,liver,FALSE,2026-09-24T19:54:58.013Z,VezaliusBandage,Vezalius Bandage,ヴェザリウス・バンデージ,ヴェザリウス,,,#C34196
UCNDVQnBttqVsTZs7zOZHwWA,VirtuaReal Official,VirtuaReal Official,VirtuaReal (CN),CN,,FALSE,2026-09-24T23:11:40.018Z,Virtua_Real,,,,,,
UCckdfYDGrjojJM28n5SHYrA,Vox Akuma【NIJISANJI EN】,Vox Akuma,EN Luxiem,EN,liver,FALSE,2026-09-24T19:44:46.015Z,Vox_Akuma,Vox Akuma,ヴォックス・アクマ,ヴォックス,,,#960018
UCh-GyPNxvjTsza0ptjnkh1w,VΔLZ,VΔLZ,VΔLZ,本家,unit,FALSE,2026-09-25T00:09:40.014Z,VALZ_info,,,,,,
UCKpKC3M5fkcEvtOr06dmYlA,Yu Q. Wilson 【NIJISANJI EN】,Yu Q. Wilson,EN Krisis,EN,liver,FALSE,2026-09-24T19:52:52.011Z,YuQWilson,Yu Q. Wilson,ユウ・Q・ウィルソン,ユウ ユー,,,#F5EB28
UC48jH1ul-6HOrcSSfoR02fQ,Yuhi Riri Official,Yuuhi Riri,Second Generation,本家,liver,FALSE,2026-09-25T02:06:58.014Z,Yuuhi_Riri,夕陽リリ,ゆうひりり,りり,,,#BFFFFF
UClMYGvekJOb51eBOCK-d4Dw,Zeal Ginjoka【NIJISANJI EN】,Zeal Ginjoka,EN BY THE BEAT,EN,liver,FALSE,2026-09-25T00:13:46.012Z,zealginjoka,Zeal Ginjoka,ジール・ギンジョウカ,ジール,,,#007328
UCGEMpMpll4otCdnnxQ9paFg,sakuyui ch / さくゆいちゃんねる,SakaYui,JP Units,本家,unit,FALSE,2026-09-24T18:33:46.018Z,,,,,,,
UCt0clH12Xk1-Ej5PXKGfdPA,♥️♠️物述有栖♦️♣️,Mononobe Alice,Second Generation,本家,liver,FALSE,2026-09-25T04:13:52.010Z,AliceMononobe,物述有栖,もののべありす,ありす,,,#81D4E2
UCvmppcdYf4HOv-tFQhHHJMA,《にじさんじ所属の女神》モイラ,Moira,First Generation,本家,liver,FALSE,2026-09-24T17:50:58.016Z,Moiramoimoimoi,モイラ,もいら,,,,#91ABD0
UC_ZISnImkFSj6R78G_HgUSQ,あるてぃめっとくりえいたーず,Ultimate Creators,JP Units,本家,unit,FALSE,2026-09-24T19:09:40.015Z,Ult_Creators,,,,,,
UCYjdP5F0ds2D6deMo5rpoyw,いずれ菖蒲か杜若,AYAKAKI,AYAKAKI,本家,unit,FALSE,2026-09-24T16:58:58.013Z,AYAKAKI_INFO,,,,,,
UCl1oLKcAq93p-pwKfDGhiYQ,えま★おうがすと / Emma★August【にじさんじ】,Emma★August,Aka no Soshiki,本家,liver,FALSE,2026-09-24T18:04:46.026Z,emma_august_,えま★おうがすと,えまおうがすと,おうがすと,,,#B32F51
UCYKP16oMX9KKPbrNgo_Kgag,える / Elu【にじさんじ】,Elu the Elf,First Generation,本家,liver,FALSE,2026-09-24T21:33:52.009Z,Elu_World,える,える,,,,#E2364F
UC0nC50_Q8qvLbtFe6FtXpuw,すぷれあ,Splare,Splare,本家,unit,FALSE,2026-09-25T00:28:40.010Z,splare_info,,,,,,
UCjlmCrq4TP1I4xguOtJ-31w,でびでび・でびる,Debidebi Debiru,Ex-SEEDs,本家,liver,FALSE,2026-09-24T18:26:40.015Z,debidebiru_sama,でびでび・でびる,でびでびでびる,でびる,,,#444C7D
UCP19rQ5V-46B-6ZeLDJqp5w,でび縺」縺。縺ッ豁サ縺ォ縺セ縺励,Debidebi Debiru 2nd,Ex-SEEDs,本家,sub,FALSE,2026-09-24T22:06:52.009Z,debidebiru_sama,でびでび・でびる,でびでびでびる,でびる,,,#444C7D
UCX7YkU9nEeaoZbkVLVajcMg,にじさんじ,Nijisanji,Official,本家,official,FALSE,2026-09-24T21:43:52.012Z,nijisanji_app,,,,,,
UCIxiVz8JLYTMXexmLh92S6A,ぷりん・らら・もーど / Purin･Lala･Mode【にじさんじ】,Purin･Lala･Mode,Poppun Parlor,本家,liver,FALSE,2026-09-25T02:31:58.020Z,Purin_lala_mode,ぷりん・らら・もーど,ぷりんららもーど,ららもーど,,,#FFCEF1
UCMXgokh6CT4v7LpGwfikTkw,ぽっぷん・パーラー,Poppun Parlor,Poppun Parlor,本家,unit,FALSE,2026-09-25T02:30:58.023Z,PoppunParlor,,,,,,
UCa1HO5wU6csVDePt9EPYqmA,ぽめろ・ぱんち / Pomelo Punch 【にじさんじ】,Pomelo Punch,Poppun Parlor,本家,liver,FALSE,2026-09-25T02:32:40.011Z,Punch_Pomelo,ぽめろ・ぱんち,ぽめろぱんち,ぱんち,,,#FFEEA0
UCS-XXTgVkotkbkDnGEprXpg,ましろ,Mashiro,Mananatsu,本家,liver,FALSE,2026-09-24T17:14:41.928Z,mashiro2434,ましろ爻,ましろめめ,めめ,,,#1E2232
UCdpUojq0KWZCN9bxXnZwz5w,アルス・アルマル -ars almal- 【にじさんじ】,Ars Almal,Blues,本家,liver,FALSE,2026-09-25T00:45:52.013Z,ars_almal,アルス・アルマル,あるすあるまる,あるまる,,,#7FD6E2
UCHVXbQzkl3rDfsXWo8xi2qw,アンジュ・カトリーナ - Ange Katrina -,Ange Katrina,Sanbaka,本家,liver,FALSE,2026-09-24T23:20:40.404Z,ange_katrina_,アンジュ・カトリーナ,あんじゅかとりーな,かとりーな,,,#C83C35
UCmZ1Rbthn-6Jm_qOGjYsh5A,イブラヒム【にじさんじ】,Ibrahim,Meifu,本家,liver,FALSE,2026-09-24T17:03:58.013Z,honmono_ibrahim,イブラヒム,いぶらひむ,,,,#7CA1F0
UCClwIqTUn5LDpFucHyaAhHg,イ・ロハ / LeeRoha【にじさんじ】,Lee Roha,Ex-KR Neiro wa Murasaki,旧KR,liver,FALSE,2026-09-24T23:33:52.009Z,rohalee2434,イ ロハ,いろは,ろは Lee Roha,,,#FDFF7A
UCIytNcoz4pWzXfLda0DoULQ,エクス・アルビオ -Ex Albio-,Ex Albio,LvEx,本家,liver,FALSE,2026-09-24T17:44:46.016Z,ex_albio,エクス・アルビオ,えくすあるびお,あるびお,,,#5C9BBC
UCpNH2Zk2gw3JBjWAKSyZcQQ,エリー・コニファー / Eli Conifer【にじさんじ】,Eli Conifer,Posanke,本家,liver,FALSE,2026-09-25T02:19:40.013Z,Eli_Conifer,エリー・コニファー,えりーこにふぁー,こにふぁー,,,#DAFFF9
UCqjTqdVlvIipZXIKeCkHKUA,オリバー・エバンス / Oliver Evans 【にじさんじ】,Oliver Evans,Eden-gumi,本家,liver,FALSE,2026-09-25T02:59:52.014Z,@oliverD_23,オリバー・エバンス,おりばーえばんす,えばんす,,,#BCC37E
UCHBhnG2G-qN0JrrWmMO2FTA,シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】,Shellin Burgundy,Tulip-gumi,本家,liver,FALSE,2026-09-24T16:36:52.014Z,ShellinBurgundy,シェリン・バーガンディ,しぇりんばーがんでぃ,ばーがんでぃ,,,#6C2735
UC1zFJrfEKvCixhsjNSb1toQ,シスター・クレア -SisterClaire-,Sister Claire,Ex-SEEDs,本家,liver,FALSE,2026-09-24T16:27:46.019Z,SisterCleaire,シスター・クレア,しすたーくれあ,くれあ,,,#DFC6A8
UCnzZmBOSrQf2wDBbnsDajVw,ジユ / Jiyu 【にじさんじ】 ,Oh Jiyu,Ex-KR Fourth Wave,旧KR,liver,FALSE,2026-09-25T04:11:58.021Z,JiyuOh2434,オ ジユ,おじゆ,じゆ Oh Jiyu,,,#F1F4F4
UChUJbHiTVeGrSkTdBzVfNCQ,ジョー・力一 Joe Rikiichi,Joe Rikiichi,Ex-SEEDs,本家,liver,FALSE,2026-09-24T17:30:58.014Z,JoeRikiichi,ジョー・力一,じょーりきいち,りきいち,,,#D598DD
UCeGendL8CO5RkffB6IFwHow,セフィナ / Seffyna【にじさんじ】,Seffyna,Ex-KR Mianhada Pinaya,旧KR,liver,FALSE,2026-09-24T19:00:52.013Z,Seffyna2434,セフィナ,せふぃな,Seffyna,,,#C92235
UC5dJFf4m-mEcoyJRfhBljoA,セラフ・ダズルガーデン / Seraph Dazzlegarden,Seraph Dazzlegarden,VOLTACTION,本家,liver,FALSE,2026-09-25T00:24:46.023Z,SerAph_DazZ,セラフ・ダズルガーデン,せらふだずるがーでん,だずるがーでん,,,#DC3C41
UCivwPlOp0ojnMPZj5pNOPPA,ソフィア・ヴァレンタイン / Sophia Valentine【にじさんじ】,Sophia Valentine,Idios,本家,liver,FALSE,2026-09-24T23:43:41.287Z,SophiaV214,ソフィア・ヴァレンタイン,そふぃあヴぁれんたいん,ヴぁれんたいん,,,#C8C3DC
UC53UDnhAAYwvNO7j_2Ju1cQ,ドーラ,Dola,Ex-SEEDs,本家,liver,FALSE,2026-09-25T00:51:46.018Z,___Dola,ドーラ,どーら,,,,#A83E4A
UCX88Pe54pxbJDSGIyGrzNdg,ナ セラ / Na Sera【にじさんじ】,Na Sera,Ex-KR Sixth Wave,旧KR,liver,FALSE,2026-09-24T21:20:58.013Z,NaSera2434,ナ セラ,なせら,せら Na Sera,,,#FEECF3
UC5ek2GWKvUKFgnKSHuuCFrw,ナギ /  Nagi 【にじさんじ】,So Nagi,Ex-KR Arashi Unagi,旧KR,liver,FALSE,2026-09-24T18:01:56.018Z,NagiSo2434,ソ ナギ,そなぎ,なぎ So Nagi,,,#7C86DE
UCUc8GZfFxtmk7ZwSO7ccQ0g,ニュイ・ソシエール //[Nui Sociere],Nui Sociere,MajoMarity,本家,liver,FALSE,2026-09-25T03:37:46.011Z,Nui_Sociere,ニュイ・ソシエール,にゅいそしえーる,そしえーる,,,#D24E5F
UCrhhJPNsOqzNIkUfTABoSpg,ハユン / HaYun【にじさんじ】,Ha Yun,Ex-KR Sixth Wave,旧KR,liver,FALSE,2026-09-24T21:13:46.013Z,HaYun2434,ハ ユン,はゆん,ゆん Ha Yun,,,#B14D4D
UClS6k3w1sPwlVFqK3-yID5A,ハリ / Ryu Hari 【にじさんじ】,Ryu Hari,Ex-KR Fourth Wave,旧KR,liver,FALSE,2026-09-24T22:58:46.014Z,HariRyu2434,リュ ハリ,りゅはり,はり Ryu Hari,,,#96CEEB
UCwrjITPwG4q71HzihV2C7Nw,フミ/にじさんじ,Fumi,Orihimeboshi,本家,liver,FALSE,2026-09-24T17:11:46.017Z,FumiVirtual,フミ,ふみ,,,,#F4E49D
UCuep1JCrMvSxOGgGhBfJuYw,フレン・E・ルスタリオ,Furen E Lustario,Meifu,本家,liver,FALSE,2026-09-24T23:24:58.021Z,furen_2434,フレン・E・ルスタリオ,ふれんいーるすたりお,るすたりお,,,#EC1D2F
UCpfjQCCavrO-rnKaAaIF9dg,プティ ASMR保管庫,Ratna Petit ASMR,Posanke,本家,sub,FALSE,2026-09-25T01:11:52.011Z,ratna_petit,ラトナ・プティ,らとなぷてぃ,ぷてぃ,,,#F36C21
UCbc8fwhdUNlqi-J99ISYu4A,ベルモンド・バンデラス,Belmond Banderas,Ex-SEEDs,本家,liver,FALSE,2026-09-24T23:05:40.014Z,belmond_b_2434,ベルモンド・バンデラス,べるもんどばんでらす,ばんでらす,,,#683D46
UCFtyinR2ZdvKK_Xgy07qXUg,ミラン・ケストレル / Milan Kestrel 【にじさんじ】,Milan Kestrel,Mitarashi-dan,本家,liver,FALSE,2026-09-25T04:17:52.010Z,Milan_Kestrel,ミラン・ケストレル,みらんけすとれる,けすとれる,,,#2C35BD
UCCHH0nWYXFZmtDS_4tvMxHQ,ヤン・ナリ / Yang Nari 【にじさんじ】,Yang Nari,Ex-KR Fourth Wave,旧KR,liver,FALSE,2026-09-24T21:32:58.014Z,NariYang2434,ヤン ナリ,やんなり,なり Yang Nari,,,#FAD1D6
UCIG9rDtgR45VCZmYnd-4DUw,ラトナ・プティ -Ratna Petit -にじさんじ所属,Ratna Petit,Posanke,本家,liver,FALSE,2026-09-24T18:17:46.019Z,ratna_petit,ラトナ・プティ,らとなぷてぃ,ぷてぃ,,,#F36C21
UCZ1xuCK1kNmn5RzPYIZop3w,リゼ・ヘルエスタ -Lize Helesta-,Lize Helesta,Sanbaka,本家,liver,FALSE,2026-09-25T02:01:58.017Z,Lize_Helesta,リゼ・ヘルエスタ,りぜへるえすた,へるえすた,,,#42FFFF
UCb6ObE-XGCctO3WrjRZC-cw,ルイス・キャミー,Luis Cammy,Aka no Soshiki,本家,liver,FALSE,2026-09-25T00:15:58.015Z,Luis_Cammy,ルイス・キャミー,るいすきゃみー,きゃみー,,,#E86A74
UCzNXpqpdvlibmNc1JpM1o4g,ルンルン / Lunlun【にじさんじ】,Lunlun,AYAKAKI,本家,liver,FALSE,2026-09-24T16:59:40.019Z,mo_lunlun_gu,ルンルン,るんるん,,,,#D8E9FC
UCRm6lqtdxs_Qo6HeL-SRQ-w,レイン・パターソン／Lain Paterson【にじさんじ】,Lain Paterson,Eden-gumi,本家,liver,FALSE,2026-09-25T02:51:40.013Z,@Lain_Paterson,レイン・パターソン,れいんぱたーそん,ぱたーそん,,,#F74848
UC-6rZgmxZSIbq786j3RD5ow,レオス・ヴィンセント / Leos.Vincent【にじさんじ】,Leos Vincent,Eden-gumi,本家,liver,FALSE,2026-09-25T03:25:40.015Z,@Leos_Vincent,レオス・ヴィンセント,れおすヴぃんせんと,ヴぃんせんと,,,#234A87
UCsxs_R8xnsQN4t-F_3qQ8PQ,レヨン【にじさんじ】,Rayon,Y4T4,本家,liver,FALSE,2026-09-24T21:10:41.352Z,Rayon_2434,レヨン,れよん,,,,#558E8D
UCtnO2N4kPTXmyvedjGWdx3Q,レヴィ・エリファ-Levi Elipha-,Levi Elipha,LvEx,本家,liver,FALSE,2026-09-24T18:03:40.303Z,Levi_E_2434,レヴィ・エリファ,れヴぃえりふぁ,えりふぁ,,,#FF5A00
UCgmFrRcyH7d1zR9sIVQhFow,ローレン・イロアス / Lauren Iroas【にじさんじ】,Lauren Iroas,Eden-gumi,本家,liver,FALSE,2026-09-25T03:00:52.013Z,@Lauren_iroas,ローレン・イロアス,ろーれんいろあす,いろあす,,,#C10E49
UCcyiT8QT7fo7LrxXe1oxOoA,一橋綾人 / Hitotsubashi Ayato【にじさんじ】,Hitotsubashi Ayato,Eriburi,本家,liver,FALSE,2026-09-25T03:26:52.014Z,Aya10_1tsubashi,一橋綾人,ひとつばしあやと,あやと,,,#9FCEC9
UCHRCp0CSacVnTVS2Z4x9xYg,七次元生徒会,Nanajigen Seitokai,JP Units,本家,unit,FALSE,2026-09-24T21:08:40.013Z,seitokai_07,,,,,,
